pdb_id,target,binder,chains_target,chains_binder,kd_M,pkd,log10_kd,method,type,reference,n_res_target,n_res_binder,n_atoms,energy,energy_hydrophobic4,sc_intensive,buried_sasa
7CEI,Colicin E7 nuclease,Im7 immunity protein,A,B,5.000000000000001e-15,14.3,-14.30102999566398,F,E,Keeble et al. (2006) Biochemistry 3243.,87,127,1724,-0.1011707182405836,-0.1277002513237773,-0.4780036821230657,1402.892578125
1DFJ,Ribonuclease A,Rnase inhibitor,E,I,5.9e-14,13.23,-13.229147988357855,B,E,Vincentini et al. (1990) Biochemistry 8827.,124,456,4362,-0.1842497693055052,-0.2232387967244632,-0.4585924669447704,2622.63671875
1BVN,α-amylase,Tendamistat,P,T,9e-12,11.05,-11.045757490560677,D,E,Piervincenzi and Chilkoti (2004) Biomol Eng 21:33.,496,71,4443,-0.1700437726516752,-0.2701810861140241,-0.4953177413188268,2237.892578125
1EZU,D102N Trypsin,Y69F D70P Ecotin,C,AB,8e-11,10.1,-10.096910013008056,E,E,Yang and Craik (1998) J Mol Biol 1001.,220,280,3854,-0.2091068427735702,-0.3168742726924003,-0.4877614860585216,2789.216796875
1KXP,Actin,Vitamin D binding protein,A,D,1e-09,9.0,-9.0,C,O,McLeod et al. (1989) J Biol Chem 1260.,349,438,6167,-0.267404363763245,-0.4599006415282011,-0.5078684873614948,3380.51953125
2B42,Xylanase,Xylanase inhibitor,A,B,1.07e-09,8.97,-8.97061622231479,D,E,Fierens et al (2005) Febs J 5872.,364,184,4047,-0.1931471185472495,-0.2594548627445393,-0.4936733088653385,2544.890625
1OPH,α-1-antitrypsin,Trypsinogen,A,B,5e-09,8.3,-8.301029995663981,A,E,Stratikos and Gettins (1997) PNAS 94:453.,375,220,4542,-0.1087622856829647,-0.1651185882933518,-0.5133235142242398,1366.328125
2AJF,ACE2,SARS spike protein receptor binding domain,A,E,1.6200000000000003e-08,7.79,-7.790484985457369,D,O,Li et al. (2005) EMBO 24:1634.,597,174,6273,-0.1231858425820928,-0.1745748670030293,-0.4683860632303556,1714.2578125
1H1V,Actin,Gelsonin,A,G,2.3e-08,7.64,-7.638272163982407,B,O,Kinosian et al. (1996) Biochemistry 16550.,368,327,5414,-0.1566512437604088,-0.2784429333419127,-0.4951403891347707,2102.927734375
1A2K,Ran GTPase,Nuclear Transport Factor 2,C,AB,1e-07,7.0,-7.0,F,O,Chaillan-Huntington et al. (2000) J Biol Chem 5874.,196,248,3560,-0.1288882768946269,-0.2196941764515309,-0.5198294958436456,1614.51953125
1RLB,Transthyretin,Retinol binding protein,ABCD,E,1.34e-07,6.87,-6.872895201635193,A,O,Noy et al. (1992) Biochemistry 31:11118.,486,174,5171,-0.1093404857018601,-0.2070374173555335,-0.4800100729355506,1462.970703125
1E6E,Adrenoxin reductase,Adrenoxin,A,B,8.599999999999999e-07,6.07,-6.0655015487564325,D,E,Schiffler et al. (2004) J Biol Chem 34269.,457,113,4376,-0.1623009216073347,-0.2228445049613065,-0.4571298236452628,2336.443359375
2BTF,Actin,Profilin,A,P,2.3e-06,5.7,-5.638272163982407,A,O,Schlűter et al. (1998) J Cell Sci 111:3261.,373,139,3951,-0.1560776651471966,-0.2152679528625034,-0.4998000007481394,2085.80859375
1B6C,FKBP Binding Protein,TGFβ receptor,A,B,2.8e-06,5.55,-5.552841968657781,D,O,Huse et al. (2001) Mol Cell 8:671.,107,326,3433,-0.1358841386665087,-0.2277335502134,-0.4967373653137221,1764.16796875
1GHQ,Complement C3,Epstein-Barr virus receptor CR2,A,B,4.3e-06,5.37,-5.366531544420414,D,O,Sarrias et al. (2001) J Immun 167:1490.,307,129,3404,-0.0573212580248008,-0.0851719782757349,-0.4581996526059821,813.396484375
2MTA,Methylamine Dehydrogenase,Amicyanin,HL,A,4.5e-06,5.35,-5.346787486224656,G,E,Davidson et al. (1993) BBA 1144:39.,497,105,4646,-0.1106053615278146,-0.1830661500197518,-0.4769939090248082,1467.923828125
1Z0K,Rab4A GTPase,RAB4 binding domain of Rabenosyn,A,B,7.2e-06,5.14,-5.142667503568732,D,O,Eathiraj et al. (2005) Nature 436:415.,169,61,1790,-0.1442810583481453,-0.2480203273118334,-0.5188593008184026,1812.2548828125
1AK4,Cyclophilin,HIV capsid,A,D,1.6000000000000003e-05,4.8,-4.795880017344075,F,O,Yoo et al. (1997) J Mol Biol 269:780.,165,145,2396,-0.0782270369803124,-0.1341793491257296,-0.4919435889018456,1040.2294921875
1WQ1,Ras GTPase,Ras GAP,R,G,1.7e-05,4.77,-4.769551078621726,B,O,Eccleston et al. (1993) J Biol Chem 27012.,166,320,3854,-0.2075898166534243,-0.2795361258647782,-0.4524988339806601,2960.2734375
1S1Q,UEV domain,Ubiquitin,A,B,0.000635,3.19,-3.1972262747080245,D,O,"Pornillos et al (2002), EMBO J 21:2397.",137,71,1672,-0.097863451130796,-0.1536336388368863,-0.4849662449566065,1296.2275390625
