subset,n,rho,p,ci_low,ci_high
"all interface mutations, energy",1051,0.326,1.7000000000000002e-27,0.27,0.378
"all, energy hydrophobic_weight=4",1051,0.324,3.9000000000000004e-27,0.27,0.379
"all, -delta buried SASA (baseline)",1051,0.178,5.8e-09,0.12,0.238
"all, delta Sc (intensive)",1051,0.357,6.1e-33,0.301,0.412
"COR only, energy",513,0.299,4.4e-12,0.217,0.375
"SUP only, energy",223,0.301,4.7e-06,0.175,0.42
"RIM only, energy",315,0.376,5.2e-12,0.284,0.462
"hydrophobic wt residue, energy",367,0.377,8e-14,0.284,0.468
"hydrophobic wt residue, energy lambda=4",367,0.346,9.6e-12,0.256,0.436
"hydrophobic wt residue, -delta BSA",367,0.24,3.2e-06,0.142,0.335
"polar/charged wt residue, energy",684,0.209,3.5e-08,0.14,0.277
"polar/charged wt residue, energy lambda=4",684,0.167,1.1e-05,0.096,0.241
"polar/charged wt residue, -delta BSA",684,0.105,0.0059,0.032,0.175
